ref,id,name,stage,recipe,fps,loop,xp_mode
P39,acornflute-chrysalis,"Acornflute Chrysalis",pupa,SWAY,5,pingpong,crack
P40,twinglow-chrysalis,"Twinglow Chrysalis",pupa,PULSE,3,pingpong,crack
P41,hornsegment-chrysalis,"Hornsegment Chrysalis",pupa,BREATHE,4,pingpong,crack
P42,marblepupa-chrysalis,"Marblepupa Chrysalis",pupa,BREATHE,5,pingpong,crack
P43,duskspindle-cocoon,"Duskspindle Cocoon",pupa,SWAY,3,pingpong,crack
P44,bandedhusk-cocoon,"Bandedhusk Cocoon",pupa,BREATHE,4,pingpong,crack
P45,grainsilk-cocoon,"Grainsilk Cocoon",pupa,BREATHE,5,pingpong,crack
P46,beadtube-chrysalis,"Beadtube Chrysalis",pupa,PULSE,3,pingpong,crack
P47,frostflask-cocoon,"Frostflask Cocoon",pupa,BREATHE,4,pingpong,crack
P48,keelnode-chrysalis,"Keelnode Chrysalis",pupa,PULSE,5,pingpong,crack
P49,quiltgourd-cocoon,"Quiltgourd Cocoon",pupa,BREATHE,3,pingpong,crack
P50,hornhusk-chrysalis,"Hornhusk Chrysalis",pupa,BREATHE,4,pingpong,crack
A001,owlwing-moth,"Ocellate Noctua",adult,HOVER,5,loop,grow
A002,bandwing-flutter,"Fasciate Vanessa",adult,RIPPLE,5,loop,grow
A003,swallowtail-drifter,"Caudate Papilio",adult,HOVER,5,loop,grow
A004,glasswing-darter,"Hyaline Darter",adult,TWITCH,7,pingpong,grow
A005,carapace-beetle,"Lacquer Carapace",adult,STRIDE,4,loop,grow
A006,fanwing-moth,"Flabellate Noctua",adult,THRASH,4,pingpong,grow
A008,ashen-moth,"Cinereous Noctua",adult,RIPPLE,5,loop,grow
A009,emberwing-flutter,"Ignis Vanessa",adult,BLINK,5,pingpong,grow
A011,sparkdarter,"Scintilla Darter",adult,BLINK,5,pingpong,grow
A012,bandshell-beetle,"Fasciate Elytra",adult,RIPPLE,5,loop,grow
A013,veilwing-sylph,"Velate Sylph",adult,HOVER,5,loop,grow
A016,watcher-flutter,"Ocellate Vanessa",adult,BLINK,5,pingpong,grow
A017,dawnwing-swallowtail,"Aurorate Papilio",adult,RIPPLE,5,loop,grow
A018,steelwing-darter,"Ferrous Darter",adult,TWITCH,7,pingpong,grow
A019,grainshell-beetle,"Granulate Elytra",adult,STRIDE,4,loop,grow
A020,glowlace-sylph,"Luminous Chrysopa",adult,BLINK,5,pingpong,grow
A021,sandfan-moth,"Arenose Flabellum",adult,THRASH,4,pingpong,grow
A022,twilight-hawkmoth,"Crepuscular Sphinx",adult,HOVER,5,loop,grow
A024,veinwing-swallowtail,"Venate Papilio",adult,BLINK,5,pingpong,grow
A025,moonwing-hawkmoth,"Selenic Sphinx",adult,RIPPLE,5,loop,grow
A026,domeback-beetle,"Fornicate Carapace",adult,STRIDE,4,loop,grow
A027,stag-beetle,"Mandibulate Lucanus",adult,TWITCH,7,pingpong,grow
A028,reaper-mantis,"Falcate Mantid",adult,THRASH,4,pingpong,grow
A029,paper-wasp,"Papyrine Vespid",adult,HOVER,5,loop,grow
A030,chorus-cicada,"Stridulate Cicada",adult,RIPPLE,5,loop,grow
A031,emberfly,"Photic Lampyrid",adult,BLINK,5,pingpong,grow
A032,spotshell-beetle,"Punctate Coccinella",adult,STRIDE,4,loop,grow
A033,snoutweevil,"Rostrate Curculio",adult,TWITCH,7,pingpong,grow
A034,twig-stalker,"Ramulose Phasmid",adult,THRASH,4,pingpong,grow
A035,reed-damselfly,"Gracile Zygopteran",adult,HOVER,5,loop,grow
A036,iron-hornet,"Ferrous Vespa",adult,TWITCH,7,pingpong,grow
A037,gilded-scarab,"Aurate Scarabaeus",adult,SPIN,7,loop,grow
A038,rhino-beetle,"Cornute Dynastes",adult,STRIDE,4,loop,grow
A039,hoverdrone,"Librate Syrphid",adult,HOVER,5,loop,grow
A040,forge-ant,"Fornaceous Formica",adult,STRIDE,4,loop,grow
A041,roostmoth,"Tectiform Noctua",adult,RIPPLE,5,loop,grow
A042,longhorn-beetle,"Longicorn Cerambyx",adult,TWITCH,7,pingpong,grow
A043,jewelback-beetle,"Iridescent Buprestid",adult,SPIN,7,loop,grow
A044,fielder-cricket,"Saltatory Gryllid",adult,STRIDE,4,loop,grow
A045,perched-lacewing,"Sedent Chrysopa",adult,THRASH,4,pingpong,grow
A046,fuzzbumble,"Villous Bombus",adult,HOVER,5,loop,grow
A047,clickshell-beetle,"Percussive Elater",adult,TWITCH,7,pingpong,grow
A048,tiger-runner,"Cursorial Cicindela",adult,STRIDE,4,loop,grow
A049,leafmimic,"Foliate Mimetic",adult,THRASH,4,pingpong,grow
A050,emperor-moth,"Imperial Saturnia",adult,FLAP,7,loop,grow
A051,crown-seraph,"Radiant Corolla",adult,PULSE,4,pingpong,grow
A052,prismwing,"Vitreous Prism",adult,FLAP,7,loop,grow
A053,hexeye-stalker,"Hexocellus",adult,BLINK,5,pingpong,grow
A054,tendrilus,"Filament Drifter",adult,THRASH,4,pingpong,grow
A055,corebloom,"Anthos Nucleus",adult,FLAP,7,loop,grow
A056,spirewalker,"Spinal Obelisk",adult,SWAY,4,pingpong,grow
A057,frillcrown,"Frilled Diadem",adult,BREATHE,4,pingpong,grow
A058,bulbmind,"Encephalon Bloom",adult,HOVER,5,loop,grow
A059,chitin-sovereign,"Laminate Chiton",adult,STRIDE,4,loop,grow
A063,rootstalker,"Rhizome Strider",adult,STRIDE,4,loop,grow
A064,sailfin,"Velum Dorsalis",adult,BOB,4,pingpong,grow
A065,twinsoul,"Binary Nucleus",adult,BLINK,5,pingpong,grow
A066,lanternhead,"Lumen Capitis",adult,RIPPLE,5,loop,grow
A067,bladewing,"Falcate Vane",adult,FLAP,7,loop,grow
A068,hivemind,"Colonial Ganglion",adult,TWITCH,7,pingpong,grow
A069,starcarapace,"Astral Carapace",adult,SPIN,7,loop,grow
A070,thornhalo,"Thorned Corona",adult,HOVER,5,loop,grow
A071,glasswidow,"Hyaline Veil",adult,FLAP,7,loop,grow
A072,the-ascendant,"Ascendant Imago",adult,FLAP,7,loop,grow
A073,voidmoth,"Umbral Noctua",adult,FLAP,7,loop,grow
A074,horus-ocellus,"Horus Ocellus",adult,RIPPLE,5,loop,grow
A075,oraphim-choir,"Oraphim Choir",adult,FLAP,7,loop,grow
A076,seraphim-ardens,"Seraphim Ardens",adult,PULSE,4,pingpong,grow
A078,fractal-nocturne,"Fractal Nocturne",adult,FLAP,7,loop,grow
A080,iris-cascade,"Iris Cascade",adult,FLAP,7,loop,grow
A082,kaleido-ocellus,"Kaleido Ocellus",adult,FLAP,7,loop,grow
A085,nebular-drifter,"Nebular Drifter",adult,FLAP,7,loop,grow
A088,pareidolia-mask,"Pareidolia Mask",adult,BREATHE,4,pingpong,grow
A091,prism-cathedral,"Prism Cathedral",adult,FLAP,7,loop,grow
A092,synapse-weaver,"Synapse Weaver",adult,HOVER,5,loop,grow
A094,aurora-filament,"Aurora Filament",adult,FLAP,7,loop,grow
A096,vitreous-anemone,"Vitreous Anemone",adult,WOBBLE,4,pingpong,grow
A097,umbral-mandala,"Umbral Mandala",adult,FLAP,7,loop,grow
A098,empyrean-imago,"Empyrean Imago",adult,FLAP,7,loop,grow
A099,costate-xenovane,"Costate Xenovane",adult,FLAP,7,loop,grow
A100,tricephalic-mutant,"Tricephalic Mutant",adult,TWITCH,7,pingpong,grow
A101,geodic-xenomorph,"Geodic Xenomorph",adult,STRIDE,4,loop,grow
A102,argus-corona,"Argus Corona",adult,BLINK,5,pingpong,grow
A103,caudate-xenoform,"Caudate Xenoform",adult,THRASH,4,pingpong,grow
A104,vitrine-gravid,"Vitrine Gravid",adult,BREATHE,4,pingpong,grow
A105,mycelial-bloom,"Mycelial Bloom",adult,RIPPLE,5,loop,grow
A106,lensate-ocellifer,"Lensate Ocellifer",adult,STRIDE,4,loop,grow
A107,volvate-xenoconch,"Volvate Xenoconch",adult,SPIN,7,loop,grow
A108,branchiate-cranium,"Branchiate Cranium",adult,RIPPLE,5,loop,grow
A109,cervine-xenoform,"Cervine Xenoform",adult,SWAY,4,pingpong,grow
A110,geminate-dyad,"Geminate Dyad",adult,FLAP,7,loop,grow
A112,larvate-masked,"Larvate Masked",adult,STRIDE,4,loop,grow
A113,orbital-assembly,"Orbital Assembly",adult,SPIN,7,loop,grow
A114,veliferous-xenoform,"Veliferous Xenoform",adult,THRASH,4,pingpong,grow
A116,dysplasic-asymmetra,"Dysplasic Asymmetra",adult,STRIDE,4,loop,grow
A123,apex-xenoimago,"Apex Xenoimago",adult,FLAP,7,loop,grow
A124,gracile-tipulid,"Gracile Tipulid",adult,HOVER,5,loop,grow
A125,culicid-vector,"Culicid Vector",adult,HOVER,5,loop,grow
A127,mantispid-raptor,"Mantispid Raptor",adult,THRASH,4,pingpong,grow
A129,ichneumonid-prober,"Ichneumonid Prober",adult,TWITCH,7,pingpong,grow
A130,tettigoniid-leafmimic,"Tettigoniid Leafmimic",adult,SWAY,4,pingpong,grow
A131,asilid-hunter,"Asilid Hunter",adult,TWITCH,7,pingpong,grow
A132,corydalid-mandibulate,"Corydalid Mandibulate",adult,FLAP,7,loop,grow
A133,membracid-horned,"Membracid Horned",adult,BOB,4,pingpong,grow
A134,reduviid-assassin,"Reduviid Assassin",adult,STRIDE,4,loop,grow
A135,cicadellid-wedge,"Cicadellid Wedge",adult,TWITCH,7,pingpong,grow
A136,myrmeleontid-drifter,"Myrmeleontid Drifter",adult,HOVER,5,loop,grow
A137,ephemerid-ephemeral,"Ephemerid Ephemeral",adult,SWAY,4,pingpong,grow
A138,trichopteran-tentwing,"Trichopteran Tentwing",adult,FLAP,7,loop,grow
A139,raphidiid-longneck,"Raphidiid Longneck",adult,SWAY,4,pingpong,grow
A140,plecopteran-flatwing,"Plecopteran Flatwing",adult,BREATHE,4,pingpong,grow
A141,aphidid-cornicle,"Aphidid Cornicle",adult,BOB,4,pingpong,grow
A142,panorpid-uptail,"Panorpid Uptail",adult,TWITCH,7,pingpong,grow
A143,bombyliid-hoverer,"Bombyliid Hoverer",adult,HOVER,5,loop,grow
A144,sesiid-mimic,"Sesiid Mimic",adult,FLAP,7,loop,grow
A145,thysanopteran-fringe,"Thysanopteran Fringe",adult,TWITCH,7,pingpong,grow
A146,chrysopid-longleg,"Chrysopid Longleg",adult,HOVER,5,loop,grow
A147,melolonthid-fanhorn,"Melolonthid Fanhorn",adult,STRIDE,4,loop,grow
A148,pentatomid-shield,"Pentatomid Shield",adult,BREATHE,4,pingpong,grow
A149,curculionid-rostrate,"Curculionid Rostrate",adult,STRIDE,4,loop,grow
A150,coenagrionid-slender,"Coenagrionid Slender",adult,HOVER,5,loop,grow
A151,tipulid-knobbed,"Tipulid Knobbed",adult,HOVER,5,loop,grow
A152,empusid-stickform,"Empusid Stickform",adult,SWAY,4,pingpong,grow
A153,belostomatid-diver,"Belostomatid Diver",adult,STRIDE,4,loop,grow
A154,cornute-geotrupid,"Cornute Geotrupid",adult,STRIDE,4,loop,grow
A155,lampyrid-nocturne,"Lampyrid Nocturne",adult,BLINK,5,pingpong,grow
A156,coccinellid-punctate,"Coccinellid Punctate",adult,BOB,4,pingpong,grow
A157,carabid-runner,"Carabid Runner",adult,STRIDE,4,loop,grow
A158,staphylinid-rover,"Staphylinid Rover",adult,STRIDE,4,loop,grow
A159,chrysidid-jewel,"Chrysidid Jewel",adult,FLAP,7,loop,grow
A160,mutillid-velvet,"Mutillid Velvet",adult,STRIDE,4,loop,grow
A161,apid-forager,"Apid Forager",adult,FLAP,7,loop,grow
A162,xylocopid-borer,"Xylocopid Borer",adult,FLAP,7,loop,grow
A163,tenthredinid-sawfly,"Tenthredinid Sawfly",adult,FLAP,7,loop,grow
A164,tabanid-biter,"Tabanid Biter",adult,HOVER,5,loop,grow
A165,syrphid-poiser,"Syrphid Poiser",adult,HOVER,5,loop,grow
A166,formicid-gyne,"Formicid Gyne",adult,STRIDE,4,loop,grow
A167,isopteran-alate,"Isopteran Alate",adult,BREATHE,4,pingpong,grow
A168,dermapteran-forceps,"Dermapteran Forceps",adult,TWITCH,7,pingpong,grow
A169,blattid-sprinter,"Blattid Sprinter",adult,STRIDE,4,loop,grow
A170,zygentoman-bristletail,"Zygentoman Bristletail",adult,TWITCH,7,pingpong,grow
A171,gryllotalpid-digger,"Gryllotalpid Digger",adult,STRIDE,4,loop,grow
A172,acridid-saltator,"Acridid Saltator",adult,BOB,4,pingpong,grow
A173,phylliid-leafform,"Phylliid Leafform",adult,SWAY,4,pingpong,grow
A174,tettigoniid-longhorn,"Tettigoniid Longhorn",adult,SWAY,4,pingpong,grow
A175,lucanid-mandibulate,"Lucanid Mandibulate",adult,TWITCH,7,pingpong,grow
A176,curculionid-snouted,"Curculionid Snouted",adult,STRIDE,4,loop,grow
A177,anisopteran-hawker,"Anisopteran Hawker",adult,HOVER,5,loop,grow
A178,ascalaphid-nightwing,"Ascalaphid Nightwing",adult,FLAP,7,loop,grow
A179,nycteribiid-crawler,"Nycteribiid Crawler",adult,STRIDE,4,loop,grow
